Customer ID,First Date,Last Date,Customer Tenure,Recency,Frequency,Monetary,Total Quantity,First Order Revenue,Avg Days Between Orders,First Order Quantity,Average Order Value,Customer Lifetime Value,Repeat Purchase Customer,Relative Repeat Rate,Churn Likelihood,Average Basket Size,Customer Segment
2,2012-05-28,2012-05-28,0,582,1,6.26,2,5.76,0,2,6.26,0.0,0,0.037037037037037035,1.5945205479452054,2.0,Low Value
3,2010-07-07,2013-01-07,2,358,6,5303.98,75,11.36,183,4,883.9966666666666,10607.96,1,0.2222222222222222,0.9808219178082191,12.5,High Value
5,2010-12-13,2012-12-05,1,391,2,6161.21,30,6011.76,723,12,3080.605,6161.21,1,0.07407407407407407,1.0712328767123287,15.0,High Value
6,2011-05-26,2012-12-29,1,367,4,3625.09,61,1443.84,194,16,906.2725,3625.09,1,0.14814814814814814,1.0054794520547945,15.25,Medium Value
7,2012-10-30,2012-10-30,0,427,1,238.18,19,233.32,0,19,238.18,0.0,0,0.037037037037037035,1.16986301369863,19.0,Low Value
8,2012-12-25,2012-12-25,0,371,1,740.99,5,704.9,0,5,740.99,0.0,0,0.037037037037037035,1.0164383561643835,5.0,Low Value
9,2012-12-25,2012-12-25,0,371,1,2356.56,8,2294.8,0,8,2356.56,0.0,0,0.037037037037037035,1.0164383561643835,8.0,Low Value
10,2011-04-10,2011-04-10,0,996,1,219.37,14,217.98000000000002,0,14,219.37,0.0,0,0.037037037037037035,2.728767123287671,14.0,Low Value
11,2010-08-15,2010-08-15,0,1234,1,215.85,22,208.56,0,22,215.85,0.0,0,0.037037037037037035,3.3808219178082193,22.0,Low Value
12,2012-02-24,2012-02-24,0,676,1,91.21,8,87.84,0,8,91.21,0.0,0,0.037037037037037035,1.8520547945205479,8.0,Low Value
14,2010-12-05,2013-12-05,3,26,5,1371.35,35,1259.04,274,16,274.27,4114.049999999999,1,0.18518518518518517,0.07123287671232877,7.0,Medium Value
15,2010-05-28,2013-01-21,2,344,6,521.85,43,30.939999999999998,180,7,86.97500000000001,1043.7,1,0.2222222222222222,0.9424657534246575,7.166666666666667,Medium Value
16,2010-12-02,2013-12-02,3,29,3,1231.94,19,17.88,548,6,410.6466666666667,3695.82,1,0.1111111111111111,0.07945205479452055,6.333333333333333,Medium Value
17,2011-04-20,2012-06-04,1,575,2,54.28,6,11.7,411,2,27.14,54.28,1,0.07407407407407407,1.5753424657534247,3.0,Medium Value
18,2010-05-15,2013-05-21,3,224,6,3941.17,93,450.16,200,17,656.8616666666667,11823.51,1,0.2222222222222222,0.6136986301369863,15.5,High Value
19,2010-05-21,2010-05-21,0,1320,1,243.26,18,233.82,0,18,243.26,0.0,0,0.037037037037037035,3.6164383561643834,18.0,Low Value
20,2012-05-31,2013-07-03,1,181,3,966.49,15,840.45,199,13,322.16333333333336,966.49,1,0.1111111111111111,0.4958904109589041,5.0,Medium Value
21,2010-05-15,2013-02-10,2,324,12,20227.17,533,1853.6000000000001,91,70,1685.5974999999999,40454.34,1,0.4444444444444444,0.8876712328767123,44.416666666666664,High Value
23,2011-11-11,2013-11-18,2,43,4,3528.34,91,516.24,246,36,882.085,7056.68,1,0.14814814814814814,0.1178082191780822,22.75,High Value
24,2010-01-28,2013-01-13,2,352,5,2969.85,28,55.48,270,1,593.97,5939.7,1,0.18518518518518517,0.9643835616438357,5.6,High Value
25,2012-04-18,2013-02-07,0,327,4,2076.0299999999997,21,5.98,98,1,519.0074999999999,0.0,1,0.14814814814814814,0.8958904109589041,5.25,Low Value
